stride_index,timestamp,stride_length,clearance,stride_time,swing_time,stance_time,stance_ratio,fo_time,ic_time,fo_sample,ic_sample,is_outlier,turning_step,method,subject
0,3.89984400000003,1.4334755478650445,0.074320330624823,1.2582830000001195,0.5083130000000438,0.7499700000000757,0.5960264900662288,4.649814000000106,5.15812700000015,558,619,False,False,regular,S1
1,5.15812700000015,1.3590938046213754,0.0686478886688117,1.316613999999845,0.4916470000000572,0.8249669999997877,0.6265822784809252,5.983093999999937,6.4747409999999945,718,777,False,False,regular,S1
2,6.4747409999999945,1.7613997264850625,0.072296371398607,3.599856000000045,0.4749809999998433,3.124875000000202,0.8680555555556008,9.599616000000196,10.07459700000004,1152,1209,True,True,regular,S1
3,10.07459700000004,1.4161324578756136,0.0741210327285877,1.2166180000001532,0.4916470000000572,0.724971000000096,0.5958904109589079,10.799568000000136,11.291215000000191,1296,1355,False,False,regular,S1
4,11.291215000000191,1.4196445062272909,0.0674047387125638,1.2416169999999056,0.4583150000000842,0.7833019999998214,0.6308724832213807,12.074517000000014,12.5328320000001,1449,1504,False,False,regular,S1
5,12.5328320000001,0.4188871212321926,,1.2166179999999258,0.2249910000000454,0.9916269999998804,0.8150684931506363,13.52445899999998,13.749450000000024,1623,1650,True,True,regular,S1
6,13.749450000000024,2.14750803468192,0.0710057428411751,2.6415609999999106,0.4749809999998433,2.1665800000000672,0.8201892744480027,15.916030000000092,16.391010999999935,1910,1967,True,True,regular,S1
7,16.391010999999935,1.42556959536823,0.069465772573888,1.2166180000001532,0.4416490000000976,0.7749690000000555,0.6369863013698285,17.16597999999999,17.607629000000088,2060,2113,False,False,regular,S1
8,17.607629000000088,1.3657368590862349,0.0708896788335871,1.2916150000000926,0.4916470000000572,0.7999680000000353,0.6193548387096603,18.407597000000123,18.89924400000018,2209,2268,False,False,regular,S1
9,18.89924400000018,1.8274116606945296,0.0788857842771433,3.81651399999987,0.4749810000000707,3.3415329999998,0.8755458515283615,22.24077699999998,22.71575800000005,2669,2726,True,True,regular,S1
10,22.71575800000005,1.461903047715018,0.0745425117288491,1.2249510000001465,0.4999800000000505,0.724971000000096,0.5918367346938851,23.440729000000147,23.9407090000002,2813,2873,False,False,regular,S1
11,23.9407090000002,1.424412346674658,0.0752994416472527,1.283281999999872,0.4999800000000505,0.7833019999998214,0.6103896103895321,24.72401100000002,25.22399100000007,2967,3027,False,False,regular,S1
12,25.22399100000007,1.9081407202486085,0.0736671930386951,3.724850999999944,0.4749809999998433,3.249870000000101,0.8724832214765502,28.47386100000017,28.948842000000013,3417,3474,True,True,regular,S1
13,28.948842000000013,1.499663932845275,0.0741970675149294,1.241617000000133,0.516646000000037,0.724971000000096,0.5838926174496791,29.67381300000011,30.190459000000143,3561,3623,False,False,regular,S1
14,30.190459000000143,1.346348518324124,0.0703918737018294,1.2749489999998789,0.4583149999998568,0.8166340000000218,0.6405228758170716,31.007093000000168,31.465408000000025,3721,3776,True,True,regular,S1
15,31.465408000000025,1.872347896400619,0.0665668755875623,3.558191000000079,0.4583150000000842,3.0998759999999947,0.8711943793910799,34.56528400000002,35.023599000000104,4148,4203,True,True,regular,S1
16,35.023599000000104,1.4663337030261536,0.0687342229034217,1.2666159999998854,0.4583149999998568,0.8083010000000286,0.6381578947369224,35.83190000000013,36.29021499999999,4300,4355,False,False,regular,S1
17,36.29021499999999,1.3722674064859912,0.0700393347553535,1.274949000000106,0.4749810000000707,0.7999680000000353,0.6274509803921324,37.090183000000025,37.565164000000095,4451,4508,False,False,regular,S1
18,37.565164000000095,1.7785485795682414,0.0716749775385915,3.9748409999999694,0.4416489999998703,3.533192000000099,0.8888888888889207,41.098356000000194,41.54000500000007,4932,4985,True,True,regular,S1
19,41.54000500000007,1.387518576204687,0.0637202841289672,1.241617000000133,0.4416490000000976,0.7999680000000353,0.6442953020133823,42.3399730000001,42.7816220000002,5081,5134,False,False,regular,S1
20,42.7816220000002,1.3678335228223135,0.0671691361023031,1.349945999999818,0.4833139999998366,0.8666319999999814,0.6419753086420481,43.64825400000018,44.131568000000016,5238,5296,False,False,regular,S1
21,44.131568000000016,1.67226439280603,0.0631077305298001,4.124835000000076,0.4249830000001111,3.699851999999965,0.8969696969696719,47.83141999999998,48.25640300000009,5740,5791,True,True,regular,S1
22,48.25640300000009,1.4692443279640597,0.0731125542898901,1.2832820000000993,0.4666480000000774,0.8166340000000218,0.6363636363636042,49.07303700000011,49.53968500000019,5889,5945,False,False,regular,S1
23,49.53968500000019,1.403245775771601,0.0643605170824156,1.2666159999998854,0.4833140000000639,0.7833019999998214,0.6184210526314939,50.32298700000001,50.80630100000008,6039,6097,False,False,regular,S1
